img_id,imgSize,bbox_coord,bbox_area,bbox_category,num_box
3.png,"(1622, 626)","[[880, 333, 19, 18]]",[342],[2],1
5.png,"(1622, 626)","[[1069, 355, 83, 83], [768, 480, 9, 7]]","[6889, 63]","[3, 2]",2
6.png,"(1622, 626)","[[781, 337, 17, 15]]",[255],[6],1
16.png,"(1622, 626)","[[733, 352, 7, 8]]",[56],[2],1
17.png,"(1622, 626)","[[1024, 160, 75, 72]]",[5400],[2],1
18.png,"(1622, 626)","[[1138, 295, 47, 41], [986, 371, 11, 9], [979, 363, 8, 6], [290, 295, 38, 41]]","[1927, 99, 48, 1558]","[2, 3, 2, 5]",4
21.png,"(1622, 626)","[[822, 314, 22, 22], [697, 321, 8, 6]]","[484, 48]","[3, 2]",2
22.png,"(1622, 626)","[[1021, 140, 140, 130]]",[18200],[2],1
25.png,"(1622, 626)","[[1097, 137, 63, 57], [860, 222, 16, 13], [858, 208, 17, 13]]","[3591, 208, 221]","[3, 2, 5]",3
28.png,"(1622, 626)","[[320, 438, 26, 24], [775, 455, 13, 13]]","[624, 169]","[2, 2]",2
29.png,"(1622, 626)","[[965, 202, 10, 16]]",[160],[2],1
32.png,"(1622, 626)","[[586, 238, 11, 11]]",[121],[6],1
33.png,"(1622, 626)","[[400, 361, 59, 59]]",[3481],[4],1
35.png,"(1622, 626)","[[228, 186, 41, 40]]",[1640],[5],1
37.png,"(1622, 626)","[[885, 179, 30, 32]]",[960],[2],1
40.png,"(1622, 626)","[[42, 418, 29, 20], [873, 414, 22, 19], [1094, 415, 10, 9]]","[580, 418, 90]","[5, 1, 4]",3
47.png,"(1622, 626)","[[906, 316, 26, 25]]",[650],[5],1
50.png,"(1622, 626)","[[1340, 377, 56, 44], [1266, 395, 25, 22], [976, 420, 6, 5], [403, 412, 51, 53]]","[2464, 550, 30, 2703]","[2, 3, 5, 1]",4
51.png,"(1622, 626)","[[869, 265, 37, 35]]",[1295],[2],1
55.png,"(1622, 626)","[[1370, 225, 88, 91], [718, 317, 9, 8]]","[8008, 72]","[3, 2]",2
59.png,"(1622, 626)","[[1338, 391, 25, 23], [1394, 388, 29, 24]]","[575, 696]","[4, 5]",2
61.png,"(1622, 626)","[[1156, 291, 46, 38]]",[1748],[3],1
63.png,"(1622, 626)","[[1179, 414, 35, 30]]",[1050],[6],1
65.png,"(1622, 626)","[[822, 253, 13, 10]]",[130],[2],1
74.png,"(1622, 626)","[[1118, 304, 17, 34], [911, 293, 18, 17]]","[578, 306]","[5, 2]",2
77.png,"(1622, 626)","[[1081, 456, 37, 29], [1081, 427, 33, 26]]","[1073, 858]","[6, 6]",2
79.png,"(1622, 626)","[[1442, 351, 53, 36]]",[1908],[7],1
86.png,"(1622, 626)","[[175, 178, 100, 82], [178, 264, 98, 85]]","[8200, 8330]","[1, 7]",2
89.png,"(1622, 626)","[[780, 205, 10, 10], [780, 215, 11, 10], [1363, 223, 16, 14]]","[100, 110, 224]","[5, 2, 6]",3
98.png,"(1622, 626)","[[713, 393, 26, 28], [1115, 392, 19, 16]]","[728, 304]","[1, 4]",2
104.png,"(1622, 626)","[[671, 272, 91, 86]]",[7826],[6],1
107.png,"(1622, 626)","[[1214, 392, 18, 14]]",[252],[4],1
108.png,"(1622, 626)","[[1338, 461, 41, 35], [1168, 477, 18, 14]]","[1435, 252]","[6, 6]",2
109.png,"(1622, 626)","[[1009, 221, 53, 40]]",[2120],[6],1
121.png,"(1622, 626)","[[1439, 127, 166, 109], [982, 357, 17, 13]]","[18094, 221]","[3, 2]",2
123.png,"(1622, 626)","[[1340, 144, 91, 109], [838, 216, 12, 22], [841, 193, 9, 22]]","[9919, 264, 198]","[6, 2, 5]",3
124.png,"(1622, 626)","[[936, 184, 40, 42]]",[1680],[2],1
130.png,"(1622, 626)","[[1001, 427, 14, 11], [1021, 414, 21, 17], [1023, 432, 23, 17]]","[154, 357, 391]","[5, 6, 6]",3
133.png,"(1622, 626)","[[1496, 292, 125, 144]]",[18000],[6],1
138.png,"(1622, 626)","[[1417, 390, 23, 15]]",[345],[7],1
147.png,"(1622, 626)","[[1460, 167, 67, 66]]",[4422],[2],1
149.png,"(1622, 626)","[[761, 405, 12, 13]]",[156],[1],1
151.png,"(1622, 626)","[[1488, 386, 49, 31], [983, 404, 5, 5]]","[1519, 25]","[6, 1]",2
155.png,"(1622, 626)","[[1136, 174, 48, 44], [1133, 255, 52, 45]]","[2112, 2340]","[2, 2]",2
156.png,"(1622, 626)","[[1385, 391, 46, 35]]",[1610],[6],1
159.png,"(1622, 626)","[[1051, 335, 38, 33]]",[1254],[2],1
160.png,"(1622, 626)","[[936, 186, 24, 24], [814, 218, 9, 10]]","[576, 90]","[5, 2]",2
161.png,"(1622, 626)","[[296, 408, 28, 33], [828, 440, 17, 16]]","[924, 272]","[1, 2]",2
163.png,"(1622, 626)","[[894, 319, 34, 30], [12, 262, 27, 39]]","[1020, 1053]","[2, 2]",2
164.png,"(1622, 626)","[[759, 421, 14, 14]]",[196],[6],1
166.png,"(1622, 626)","[[1257, 345, 72, 64]]",[4608],[5],1
172.png,"(1622, 626)","[[1164, 274, 44, 34], [1177, 207, 37, 34]]","[1496, 1258]","[2, 2]",2
180.png,"(1622, 626)","[[1298, 84, 126, 101]]",[12726],[7],1
182.png,"(1622, 626)","[[681, 258, 34, 31], [680, 229, 34, 27], [679, 197, 34, 30], [678, 165, 39, 33]]","[1054, 918, 1020, 1287]","[5, 5, 5, 4]",4
188.png,"(1622, 626)","[[501, 302, 11, 9], [107, 301, 40, 28]]","[99, 1120]","[6, 6]",2
189.png,"(1622, 626)","[[841, 422, 10, 10]]",[100],[1],1
190.png,"(1622, 626)","[[1111, 336, 23, 18]]",[414],[7],1
205.png,"(1622, 626)","[[962, 188, 29, 28]]",[812],[7],1
206.png,"(1622, 626)","[[867, 386, 43, 49]]",[2107],[6],1
208.png,"(1622, 626)","[[770, 412, 17, 18], [14, 436, 28, 20]]","[306, 560]","[1, 5]",2
209.png,"(1622, 626)","[[1164, 284, 34, 40], [764, 307, 15, 13]]","[1360, 195]","[1, 2]",2
212.png,"(1622, 626)","[[740, 359, 44, 35]]",[1540],[6],1
218.png,"(1622, 626)","[[147, 209, 54, 43]]",[2322],[5],1
221.png,"(1622, 626)","[[792, 353, 17, 15], [458, 379, 13, 11]]","[255, 143]","[2, 1]",2
226.png,"(1622, 626)","[[918, 420, 8, 7]]",[56],[1],1
228.png,"(1622, 626)","[[852, 295, 40, 33], [38, 356, 40, 36]]","[1320, 1440]","[2, 1]",2
231.png,"(1622, 626)","[[864, 425, 8, 6]]",[48],[1],1
233.png,"(1622, 626)","[[1476, 6, 144, 101]]",[14544],[2],1
234.png,"(1622, 626)","[[1411, 395, 41, 40]]",[1640],[3],1
245.png,"(1622, 626)","[[842, 369, 8, 9], [860, 373, 8, 8]]","[72, 64]","[2, 5]",2
246.png,"(1622, 626)","[[515, 427, 8, 7], [869, 423, 5, 5]]","[56, 25]","[1, 1]",2
250.png,"(1622, 626)","[[882, 250, 35, 36]]",[1260],[2],1
254.png,"(1622, 626)","[[1411, 178, 97, 68], [1416, 121, 89, 59]]","[6596, 5251]","[2, 5]",2
256.png,"(1622, 626)","[[854, 411, 6, 8]]",[48],[1],1
257.png,"(1622, 626)","[[836, 210, 11, 11], [816, 218, 7, 6], [816, 225, 7, 6]]","[121, 42, 42]","[3, 5, 2]",3
261.png,"(1622, 626)","[[1156, 64, 74, 63]]",[4662],[3],1
263.png,"(1622, 626)","[[1176, 402, 26, 20]]",[520],[6],1
265.png,"(1622, 626)","[[565, 339, 23, 22]]",[506],[6],1
267.png,"(1622, 626)","[[1431, 464, 61, 37]]",[2257],[6],1
268.png,"(1622, 626)","[[148, 239, 34, 24]]",[816],[5],1
270.png,"(1622, 626)","[[1013, 48, 85, 78], [1020, 1, 77, 44]]","[6630, 3388]","[2, 5]",2
272.png,"(1622, 626)","[[1424, 376, 32, 21]]",[672],[7],1
283.png,"(1622, 626)","[[972, 243, 44, 41]]",[1804],[2],1
284.png,"(1622, 626)","[[1322, 199, 129, 79], [989, 367, 13, 10], [981, 359, 8, 8]]","[10191, 130, 64]","[2, 3, 2]",3
289.png,"(1622, 626)","[[1229, 389, 37, 29]]",[1073],[4],1
292.png,"(1622, 626)","[[1129, 406, 13, 11], [575, 409, 10, 15], [943, 409, 4, 4]]","[143, 150, 16]","[6, 5, 1]",3
294.png,"(1622, 626)","[[1510, 249, 111, 91]]",[10101],[7],1
296.png,"(1622, 626)","[[1236, 143, 118, 78]]",[9204],[2],1
308.png,"(1622, 626)","[[985, 276, 46, 41], [74, 314, 40, 24]]","[1886, 960]","[2, 2]",2
317.png,"(1622, 626)","[[826, 368, 34, 36]]",[1224],[2],1
322.png,"(1622, 626)","[[976, 356, 35, 32]]",[1120],[2],1
323.png,"(1622, 626)","[[452, 393, 30, 29]]",[870],[1],1
332.png,"(1622, 626)","[[256, 408, 19, 19], [767, 406, 13, 14]]","[361, 182]","[5, 1]",2
334.png,"(1622, 626)","[[1023, 164, 140, 132], [794, 391, 7, 8]]","[18480, 56]","[3, 2]",2
339.png,"(1622, 626)","[[1164, 317, 48, 36], [1162, 278, 20, 34], [1048, 328, 20, 19], [990, 360, 10, 9]]","[1728, 680, 380, 90]","[3, 5, 2, 3]",4
342.png,"(1622, 626)","[[578, 402, 15, 13]]",[195],[1],1
347.png,"(1622, 626)","[[941, 374, 31, 29], [849, 425, 3, 3]]","[899, 9]","[5, 1]",2
348.png,"(1622, 626)","[[833, 456, 24, 23], [764, 482, 7, 5]]","[552, 35]","[3, 2]",2
353.png,"(1622, 626)","[[1121, 282, 28, 28]]",[784],[2],1
354.png,"(1622, 626)","[[19, 218, 41, 40], [7, 175, 42, 42]]","[1640, 1764]","[2, 5]",2
355.png,"(1622, 626)","[[917, 188, 33, 31], [814, 214, 9, 7]]","[1023, 63]","[2, 6]",2
361.png,"(1622, 626)","[[753, 206, 31, 30], [749, 245, 40, 34]]","[930, 1360]","[1, 7]",2
363.png,"(1622, 626)","[[1182, 403, 40, 25]]",[1000],[6],1
365.png,"(1622, 626)","[[953, 367, 8, 7], [894, 373, 5, 5], [1165, 350, 11, 14]]","[56, 25, 154]","[5, 2, 2]",3
369.png,"(1622, 626)","[[524, 399, 12, 14], [1053, 400, 5, 5]]","[168, 25]","[5, 1]",2
375.png,"(1622, 626)","[[787, 420, 23, 21]]",[483],[2],1
378.png,"(1622, 626)","[[1550, 395, 63, 45]]",[2835],[6],1
379.png,"(1622, 626)","[[807, 354, 13, 13], [788, 371, 6, 7]]","[169, 42]","[3, 2]",2
382.png,"(1622, 626)","[[1111, 335, 21, 18]]",[378],[7],1
384.png,"(1622, 626)","[[1176, 400, 55, 53], [738, 419, 6, 6]]","[2915, 36]","[6, 1]",2
387.png,"(1622, 626)","[[1002, 395, 21, 16]]",[336],[2],1
391.png,"(1622, 626)","[[951, 219, 34, 41], [961, 174, 25, 39]]","[1394, 975]","[2, 5]",2
395.png,"(1622, 626)","[[896, 415, 17, 17], [740, 420, 5, 5]]","[289, 25]","[6, 1]",2
397.png,"(1622, 626)","[[1070, 325, 29, 23]]",[667],[3],1
399.png,"(1622, 626)","[[963, 451, 17, 15], [964, 467, 17, 14], [791, 482, 4, 4]]","[255, 238, 16]","[6, 6, 2]",3
401.png,"(1622, 626)","[[854, 429, 4, 4]]",[16],[1],1
403.png,"(1622, 626)","[[919, 180, 38, 35], [918, 144, 41, 36]]","[1330, 1476]","[2, 5]",2
404.png,"(1622, 626)","[[424, 253, 22, 19], [426, 277, 19, 20], [860, 274, 12, 12], [860, 250, 12, 12]]","[418, 380, 144, 144]","[1, 7, 2, 2]",4
411.png,"(1622, 626)","[[947, 232, 68, 62]]",[4216],[2],1
412.png,"(1622, 626)","[[1052, 350, 22, 18], [1016, 347, 12, 11], [980, 364, 6, 8]]","[396, 132, 48]","[3, 2, 3]",3
413.png,"(1622, 626)","[[662, 449, 21, 18]]",[378],[6],1
417.png,"(1622, 626)","[[860, 258, 33, 25], [863, 205, 28, 27]]","[825, 756]","[2, 2]",2
418.png,"(1622, 626)","[[1400, 403, 12, 9]]",[108],[7],1
427.png,"(1622, 626)","[[888, 299, 11, 9], [885, 278, 12, 10]]","[99, 120]","[2, 2]",2
441.png,"(1622, 626)","[[584, 225, 48, 39]]",[1872],[6],1
